weather_hour,temperature_c,wind_speed_kmh,visibility_km,precipitation_mm,is_precipitation,is_low_visibility,is_windy,is_cold
2023-01-11 13:00:00,2.2,18.0,,0.0,False,False,False,False
2023-01-11 14:00:00,2.2,18.0,,0.0,False,False,False,False
2023-01-11 15:00:00,2.8,359.64,,0.0,False,False,True,False
2023-01-11 16:00:00,3.3,359.64,,0.0,False,False,True,False
2023-01-11 17:00:00,3.9,14.4,,0.0,False,False,False,False
2023-01-11 18:00:00,3.9,359.64,,0.0,False,False,True,False
2023-01-11 19:00:00,3.9,28.8,,0.0,False,False,True,False
2023-01-11 20:00:00,3.3,39.6,,0.0,False,False,True,False
2023-01-11 21:00:00,3.3,32.4,,0.0,False,False,True,False
2023-01-11 22:00:00,2.8,21.6,,0.0,False,False,False,False
2023-01-11 23:00:00,3.3,359.64,,0.0,False,False,True,False
2023-01-12 00:00:00,2.8,359.64,,0.0,False,False,True,False
2023-01-12 01:00:00,2.8,43.2,,0.0,False,False,True,False
2023-01-12 02:00:00,2.8,39.6,,0.0,False,False,True,False
2023-01-12 03:00:00,3.3,39.6,,0.0,False,False,True,False
2023-01-12 04:00:00,2.8,192.42,,0.0,False,False,True,False
2023-01-12 05:00:00,3.3,359.64,,0.0,False,False,True,False
2023-01-12 06:00:00,3.3,359.64,,0.0,False,False,True,False
2023-01-12 07:00:00,3.9,18.0,,0.0,False,False,False,False
2023-01-12 08:00:00,3.9,21.6,,0.0,False,False,False,False
2023-01-12 09:00:00,4.4,359.64,,0.0,False,False,True,False
2023-01-12 10:00:00,4.4,21.6,,0.0,False,False,False,False
2023-01-12 11:00:00,4.4,21.6,,0.9,True,False,False,False
2023-01-12 12:00:00,4.4,359.64,,0.3,True,False,True,False
2023-01-12 13:00:00,4.8,27.6,8.05,1.5,True,False,True,False
2023-01-12 14:00:00,5.3,30.6,,1.0,True,False,True,False
2023-01-12 15:00:00,6.1,28.8,,0.0,False,False,True,False
2023-01-12 16:00:00,6.55,110.61,,0.0,False,False,True,False
2023-01-12 17:00:00,7.03,246.96,,0.8,True,False,True,False
2023-01-12 18:00:00,7.9,23.4,,0.0,False,False,False,False
2023-01-12 19:00:00,8.3,21.6,,0.0,False,False,False,False
2023-01-12 20:00:00,8.9,194.22,,0.0,False,False,True,False
2023-01-12 21:00:00,10.0,359.64,,0.0,False,False,True,False
2023-01-12 22:00:00,11.7,210.42,,0.0,False,False,True,False
2023-01-12 23:00:00,11.1,235.94,4.83,14.2,True,True,True,False
2023-01-13 00:00:00,11.07,159.48,6.97,2.0,True,False,True,False
2023-01-13 01:00:00,11.85,206.82,8.05,2.0,True,False,True,False
2023-01-13 02:00:00,11.87,158.28,6.97,5.6,True,False,True,False
2023-01-13 03:00:00,12.2,257.76,,0.0,False,False,True,False
2023-01-13 04:00:00,12.2,359.64,,7.6,True,False,True,False
2023-01-13 05:00:00,12.5,205.02,,4.1,True,False,True,False
2023-01-13 06:00:00,12.03,48.0,6.71,4.5,True,False,True,False
2023-01-13 07:00:00,13.13,262.56,,0.0,False,False,True,False
2023-01-13 08:00:00,13.5,261.36,,2.0,True,False,True,False
2023-01-13 09:00:00,11.7,46.8,,0.0,False,False,True,False
2023-01-13 10:00:00,11.7,52.2,,0.0,False,False,True,False
2023-01-13 11:00:00,11.7,57.6,9.66,12.3,True,False,True,False
2023-01-13 12:00:00,11.7,359.64,,0.0,False,False,True,False
2023-01-13 13:00:00,11.7,359.64,,0.0,False,False,True,False
2023-01-13 14:00:00,12.23,171.48,,0.0,False,False,True,False
2023-01-13 15:00:00,13.3,359.64,,0.0,False,False,True,False
2023-01-13 16:00:00,12.6,91.8,,0.0,False,False,True,False
2023-01-13 17:00:00,12.2,359.64,,0.0,False,False,True,False
2023-01-13 18:00:00,10.93,99.6,,0.0,False,False,True,False
2023-01-13 19:00:00,8.3,108.0,,0.0,False,False,True,False
2023-01-13 20:00:00,7.2,108.0,,0.0,False,False,True,False
2023-01-13 21:00:00,5.6,108.0,,0.0,False,False,True,False
2023-01-13 22:00:00,4.4,108.0,,0.0,False,False,True,False
2023-01-13 23:00:00,4.4,359.64,,0.0,False,False,True,False
2023-01-14 00:00:00,4.4,108.0,,0.0,False,False,True,False
2023-01-14 01:00:00,3.9,108.0,,0.0,False,False,True,False
2023-01-14 02:00:00,3.9,359.64,,0.0,False,False,True,False
2023-01-14 03:00:00,3.9,126.0,,0.0,False,False,True,False
2023-01-14 04:00:00,3.3,359.64,,2.3,True,False,True,False
2023-01-14 05:00:00,2.8,359.64,,0.0,False,False,True,False
2023-01-14 06:00:00,2.75,181.62,,0.0,False,False,True,False
2023-01-14 07:00:00,2.1,7.2,,0.0,False,False,False,False
2023-01-14 08:00:00,1.7,359.64,,0.0,False,False,True,False
2023-01-14 09:00:00,0.6,126.0,6.44,0.0,False,False,True,False
2023-01-14 10:00:00,1.1,126.0,,0.0,False,False,True,False
2023-01-14 11:00:00,1.1,126.0,,0.0,False,False,True,False
2023-01-14 12:00:00,0.2,164.28,4.83,0.0,False,True,True,False
2023-01-14 13:00:00,0.6,187.02,8.05,0.0,False,False,True,False
2023-01-14 14:00:00,0.6,359.64,,0.0,False,False,True,False
2023-01-14 15:00:00,1.07,122.28,8.05,0.0,False,False,True,False
2023-01-14 16:00:00,1.1,66.6,,0.0,False,False,True,False
2023-01-14 17:00:00,1.7,359.64,,0.0,False,False,True,False
2023-01-14 18:00:00,2.2,7.2,,0.0,False,False,False,False
2023-01-14 19:00:00,2.2,359.64,,0.0,False,False,True,False
2023-01-14 20:00:00,1.7,359.64,,0.0,False,False,True,False
2023-01-14 21:00:00,1.1,359.64,,0.0,False,False,True,False
2023-01-14 22:00:00,0.6,129.6,,0.0,False,False,True,False
2023-01-14 23:00:00,0.6,3.6,,0.0,False,False,False,False
2023-01-15 00:00:00,0.0,129.6,,0.0,False,False,True,False
2023-01-15 01:00:00,0.0,7.2,,0.0,False,False,False,False
2023-01-15 02:00:00,0.0,129.6,,0.0,False,False,True,False
2023-01-15 03:00:00,0.0,126.0,,0.0,False,False,True,False
2023-01-15 04:00:00,-0.6,181.62,,0.0,False,False,True,True
2023-01-15 05:00:00,-0.6,3.6,,0.0,False,False,False,True
2023-01-15 06:00:00,-0.6,122.4,,0.0,False,False,True,True
2023-01-15 07:00:00,-0.6,64.8,,0.0,False,False,True,True
2023-01-15 08:00:00,-0.85,124.2,,0.0,False,False,True,True
2023-01-15 09:00:00,-1.1,122.4,,0.0,False,False,True,True
2023-01-15 10:00:00,-1.1,359.64,,0.0,False,False,True,True
2023-01-15 11:00:00,-0.6,122.4,,0.0,False,False,True,True
2023-01-15 12:00:00,-1.1,359.64,,0.0,False,False,True,True
2023-01-15 13:00:00,-0.6,359.64,,0.0,False,False,True,True
2023-01-15 14:00:00,0.6,122.4,,0.0,False,False,True,False
2023-01-15 15:00:00,1.7,126.0,,0.0,False,False,True,False
2023-01-15 16:00:00,2.2,122.4,,0.0,False,False,True,False
2023-01-15 17:00:00,4.4,359.64,,0.0,False,False,True,False
2023-01-15 18:00:00,4.4,3.6,,0.0,False,False,False,False
2023-01-15 19:00:00,5.0,7.2,,0.0,False,False,False,False
2023-01-15 20:00:00,5.0,359.64,,0.0,False,False,True,False
2023-01-15 21:00:00,3.9,359.64,,0.0,False,False,True,False
2023-01-15 22:00:00,3.3,359.64,,0.0,False,False,True,False
2023-01-15 23:00:00,2.8,359.64,,0.0,False,False,True,False
2023-01-16 00:00:00,2.2,126.0,,0.0,False,False,True,False
2023-01-16 01:00:00,1.7,126.0,,0.0,False,False,True,False
2023-01-16 02:00:00,1.1,3.6,,0.0,False,False,False,False
2023-01-16 03:00:00,0.6,122.4,,0.0,False,False,True,False
2023-01-16 04:00:00,0.0,244.62,,0.0,False,False,True,False
2023-01-16 05:00:00,-0.6,7.2,,0.0,False,False,False,True
2023-01-16 06:00:00,-1.1,3.6,,0.0,False,False,False,True
2023-01-16 07:00:00,-1.1,118.8,,0.0,False,False,True,True
2023-01-16 08:00:00,-1.1,359.64,,0.0,False,False,True,True
2023-01-16 09:00:00,-1.1,359.64,,0.0,False,False,True,True
2023-01-16 10:00:00,-1.7,108.0,,0.0,False,False,True,True
2023-01-16 11:00:00,-1.7,359.64,,0.0,False,False,True,True
2023-01-16 12:00:00,-1.7,108.0,,0.0,False,False,True,True
2023-01-16 13:00:00,-1.7,108.0,,0.0,False,False,True,True
2023-01-16 14:00:00,-0.6,104.4,,0.0,False,False,True,True
2023-01-16 15:00:00,1.1,359.64,,0.0,False,False,True,False
2023-01-16 16:00:00,2.8,108.0,,0.0,False,False,True,False
2023-01-16 17:00:00,5.0,100.8,,0.0,False,False,True,False
2023-01-16 18:00:00,6.7,104.4,,0.0,False,False,True,False
2023-01-16 19:00:00,8.3,359.64,,0.0,False,False,True,False
2023-01-16 20:00:00,8.9,359.64,,0.0,False,False,True,False
2023-01-16 21:00:00,7.8,111.6,,0.0,False,False,True,False
2023-01-16 22:00:00,6.7,108.0,,0.0,False,False,True,False
2023-01-16 23:00:00,6.1,108.0,,0.0,False,False,True,False
2023-01-17 00:00:00,5.6,104.4,,0.0,False,False,True,False
2023-01-17 01:00:00,5.0,111.6,,0.0,False,False,True,False
2023-01-17 02:00:00,4.4,108.0,,0.0,False,False,True,False
2023-01-17 03:00:00,3.3,104.4,,0.0,False,False,True,False
2023-01-17 04:00:00,3.3,232.02,,0.0,False,False,True,False
2023-01-17 05:00:00,2.8,359.64,,0.0,False,False,True,False
2023-01-17 06:00:00,2.8,100.8,,0.0,False,False,True,False
2023-01-17 07:00:00,2.2,104.4,,0.0,False,False,True,False
2023-01-17 08:00:00,2.2,100.8,,0.0,False,False,True,False
2023-01-17 09:00:00,2.2,100.8,,0.0,False,False,True,False
2023-01-17 10:00:00,2.2,359.64,,0.0,False,False,True,False
2023-01-17 11:00:00,2.2,359.64,,0.0,False,False,True,False
2023-01-17 12:00:00,2.8,359.64,,0.0,False,False,True,False
2023-01-17 13:00:00,4.4,97.2,,0.0,False,False,True,False
